codigo_ibge,ano_pib,pib_per_capita,populacao,uf,variacao_12m_pct,tercil_renda,tercil_populacao,perfil_formato
521120,2021,21628.51115365082,26553.0,Goiás,-0.15625883777098393,baixa,alta,Atacarejo
520960,2021,22418.492784607162,3342.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
520945,2021,38284.35455086258,2154.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
522170,2021,21340.6306632838,13857.0,Goiás,-0.15625883777098393,baixa,média,Atacarejo
500270,2021,38414.6949621234,962883.0,Mato Grosso do Sul,2.4056746559722564,média,alta,Misto / avaliar caso a caso
521100,2021,50751.82648401827,8133.0,Goiás,-0.15625883777098393,média,média,Misto / avaliar caso a caso
520990,2021,15937.530777347873,10289.0,Goiás,-0.15625883777098393,baixa,média,Atacarejo
520993,2021,37856.57370517928,6076.0,Goiás,-0.15625883777098393,média,média,Misto / avaliar caso a caso
500240,2021,63444.86373165619,32748.0,Mato Grosso do Sul,2.4056746559722564,alta,alta,Varejo tradicional
500230,2021,70459.5690747782,11833.0,Mato Grosso do Sul,2.4056746559722564,alta,média,Varejo tradicional
500220,2021,50447.16753716352,25034.0,Mato Grosso do Sul,2.4056746559722564,média,alta,Misto / avaliar caso a caso
521523,2021,9646.992452924806,107663.0,Goiás,-0.15625883777098393,baixa,alta,Atacarejo
510795,2021,51888.507957744514,114603.0,Mato Grosso,-1.198470469704671,alta,alta,Varejo tradicional
510794,2021,141046.27551565671,9895.0,Mato Grosso,-1.198470469704671,alta,média,Varejo tradicional
510777,2021,35164.268164268164,7737.0,Mato Grosso,-1.198470469704671,média,média,Misto / avaliar caso a caso
510525,2021,98910.1921890026,95792.0,Mato Grosso,-1.198470469704671,alta,alta,Varejo tradicional
510410,2021,30162.518181069732,31209.0,Mato Grosso,-1.198470469704671,média,alta,Misto / avaliar caso a caso
521380,2021,39560.664465978065,54326.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
520320,2021,135157.69131667097,10853.0,Goiás,-0.15625883777098393,alta,média,Varejo tradicional
520310,2021,22749.538575119972,3306.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
521870,2021,17225.579470198674,3893.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
510454,2021,102620.19914651493,8257.0,Mato Grosso,-1.198470469704671,alta,média,Varejo tradicional
521377,2021,23985.235786690173,3743.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
520340,2021,28913.7118491921,7775.0,Goiás,-0.15625883777098393,média,média,Misto / avaliar caso a caso
